,Indonesia (IDR),Malaysia (MYR),Thailand (THB),Filipina (PHP)
Ticker,IDRUSD=X,MYRUSD=X,THBUSD=X,PHPUSD=X
Date,,,,
2004-03-09,0.00011600524885579944,0.2608514130115509,0.02547251619398594,0.017844395712018013
2004-03-10,0.00011661672033369541,0.26336580514907837,0.025407148525118828,0.017844395712018013
2004-03-11,0.00011672697291942313,0.2650200128555298,0.02558002807199955,0.017844395712018013
2004-03-12,0.00011583459126995876,0.26385223865509033,0.02546602673828602,0.017773037776350975
2004-03-15,0.00011607795022428036,0.2638940215110779,0.02540779486298561,0.017841214314103127
2004-03-16,0.00011600254947552457,0.26363658905029297,0.025387154892086983,0.017841214314103127
2004-03-17,0.00011566175089683384,0.26288118958473206,0.025353040546178818,0.017841214314103127
2004-03-18,0.00011718933092197403,0.26639673113822937,0.02543170377612114,0.017841214314103127
2004-03-19,0.00011605909821810201,0.26381048560142517,0.025418128818273544,0.017841214314103127
2004-03-22,0.00011680195893859491,0.26549845933914185,0.025385219603776932,0.017841214314103127
2004-03-23,0.00011678285954985768,0.2654421031475067,0.02556106448173523,0.017841214314103127
2004-03-24,0.00011484747665235773,0.2610352635383606,0.025136996060609818,0.017841214314103127
2004-03-25,0.00011478684609755874,0.2609875798225403,0.025310689583420753,0.017841214314103127
2004-03-26,0.00011471047764644027,0.2607426047325134,0.025396181270480156,0.017841214314103127
2004-03-29,0.00011509863543324172,0.26161572337150574,0.025191456079483032,0.017841214314103127
2004-03-30,0.00011525916488608345,0.26197898387908936,0.02522704377770424,0.017841214314103127
2004-03-31,0.00011647545034065843,0.26473936438560486,0.02549394592642784,0.01786990649998188
2004-04-01,0.00011696726869558915,0.265872597694397,0.02557152509689331,0.01786990649998188
2004-04-02,0.00011473021731944755,0.2607834041118622,0.025557147338986397,0.01786990649998188
2004-04-05,0.00011364669626345858,0.2583245038986206,0.025618690997362137,0.01786990649998188
2004-04-06,0.00011475785868242383,0.2608514130115509,0.02560753934085369,0.01786990649998188
2004-04-07,0.00011649580847006291,0.2630402147769928,0.025629855692386627,0.01786990649998188
2004-04-08,0.0001163115375675261,0.26297104358673096,0.025614097714424133,0.01786990649998188
2004-04-09,0.00011638868454610929,0.2631509602069855,0.025611475110054016,
2004-04-12,0.00011625474144238979,0.26284661889076233,0.02558395266532898,
2004-04-13,0.00011637108400464058,0.26309558749198914,0.02555910497903824,0.01786990649998188
2004-04-14,0.00011613457172643393,0.2629019021987915,0.025400696322321892,0.018005041405558586
2004-04-15,0.00011596758122323081,0.26342132687568665,0.025444645434617996,0.018005041405558586
2004-04-16,0.00011614672257564962,0.26266711950302124,0.02540198527276516,0.018005041405558586
